District Name,Subgroup,2019 Count,2019 Percent Proficient,Number Proficient
Aberdeen School District,Multiracial,12,0.333333333,4
Aberdeen School District,White,15,0.533333333,8
Aberdeen School District,African American,597,0.264656616,158
Aberdeen School District,All Students,627,0.272727273,171
Aberdeen School District,Hispanic,*,*,*
Aberdeen School District,Asian,*,*,*
Aberdeen School District,Native American/Pacific Islander,*,*,*
Alcorn School District,Hispanic,15,0.333333333,5
Alcorn School District,African American,50,0.24,12
Alcorn School District,Multiracial,49,0.346938776,17
Alcorn School District,White,1500,0.485333333,728
Alcorn School District,All Students,1624,0.473522167,769
Alcorn School District,Asian,*,*,*
Alcorn School District,Native American/Pacific Islander,*,*,*
Amite Co School District,Asian,0,0,0
Amite Co School District,White,75,0.293333333,22
Amite Co School District,African American,418,0.162679426,68
Amite Co School District,All Students,503,0.184890656,93
Amite Co School District,Hispanic,*,*,*
Amite Co School District,Multiracial,*,*,*
Amite Co School District,Native American/Pacific Islander,*,*,*
Amory School District,Native American/Pacific Islander,0,0,0
Amory School District,Multiracial,10,0.4,4
Amory School District,Hispanic,25,0.44,11
Amory School District,African American,315,0.273015873,86
Amory School District,White,516,0.645348837,333
Amory School District,All Students,870,0.501149425,436
Amory School District,Asian,*,*,*
Attala Co School District,Hispanic,0,0,0
Attala Co School District,Native American/Pacific Islander,0,0,0
Attala Co School District,African American,284,0.26056338,74
Attala Co School District,White,264,0.484848485,128
Attala Co School District,All Students,554,0.370036101,205
Attala Co School District,Asian,*,*,*
Attala Co School District,Multiracial,*,*,*
Baldwyn School District,Asian,0,0,0
Baldwyn School District,Native American/Pacific Islander,0,0,0
Baldwyn School District,Multiracial,16,0.3125,5
Baldwyn School District,African American,197,0.294416244,58
Baldwyn School District,White,189,0.53968254,102
Baldwyn School District,All Students,404,0.413366337,167
Baldwyn School District,Hispanic,*,*,*
Bay St Louis Waveland School District,Asian,12,0.583333333,7
Bay St Louis Waveland School District,Hispanic,19,0.368421053,7
Bay St Louis Waveland School District,Multiracial,52,0.461538462,24
Bay St Louis Waveland School District,African American,241,0.278008299,67
Bay St Louis Waveland School District,White,659,0.525037936,346
Bay St Louis Waveland School District,All Students,988,0.461538462,456
Bay St Louis Waveland School District,Native American/Pacific Islander,*,*,*
Benton Co School District,Asian,0,0,0
Benton Co School District,Native American/Pacific Islander,0,0,0
Benton Co School District,Hispanic,24,0.416666667,10
Benton Co School District,Multiracial,31,0.483870968,15
Benton Co School District,African American,270,0.259259259,70
Benton Co School District,White,265,0.505660377,134
Benton Co School District,All Students,590,0.388135593,229
Biloxi Public School District,Native American/Pacific Islander,17,0.529411765,9
Biloxi Public School District,Multiracial,151,0.642384106,97
Biloxi Public School District,Asian,132,0.757575758,100
Biloxi Public School District,Hispanic,486,0.41563786,202
Biloxi Public School District,African American,1113,0.344115004,383
Biloxi Public School District,White,1372,0.65451895,898
Biloxi Public School District,All Students,3271,0.516355854,1689
Booneville School District,Native American/Pacific Islander,0,0,0
Booneville School District,Hispanic,12,0.25,3
Booneville School District,Multiracial,46,0.456521739,21
Booneville School District,African American,162,0.327160494,53
Booneville School District,White,478,0.661087866,316
Booneville School District,All Students,702,0.564102564,396
Booneville School District,Asian,*,*,*
Brookhaven School District,Asian,11,0.272727273,3
Brookhaven School District,Hispanic,13,0.461538462,6
Brookhaven School District,Multiracial,27,0.37037037,10
Brookhaven School District,African American,940,0.244680851,230
Brookhaven School District,White,463,0.56587473,262
Brookhaven School District,All Students,1458,0.351851852,513
Brookhaven School District,Native American/Pacific Islander,*,*,*
Calhoun Co School District,Asian,10,0.5,5
Calhoun Co School District,Multiracial,35,0.457142857,16
Calhoun Co School District,Hispanic,154,0.272727273,42
Calhoun Co School District,African American,413,0.268765133,111
Calhoun Co School District,White,646,0.504643963,326
Calhoun Co School District,All Students,1258,0.39745628,500
Calhoun Co School District,Native American/Pacific Islander,*,*,*
Canton Public School District,Hispanic,220,0.277272727,61
Canton Public School District,African American,1567,0.233567326,366
Canton Public School District,All Students,1805,0.23933518,432
Canton Public School District,White,*,*,*
Canton Public School District,Asian,*,*,*
Canton Public School District,Multiracial,*,*,*
Canton Public School District,Native American/Pacific Islander,*,*,*
Carroll County School District,Native American/Pacific Islander,0,0,0
Carroll County School District,Multiracial,15,0.266666667,4
Carroll County School District,Hispanic,22,0.363636364,8
Carroll County School District,White,193,0.269430052,52
Carroll County School District,African American,266,0.22556391,60
Carroll County School District,All Students,498,0.248995984,124
Carroll County School District,Asian,*,*,*
Chickasaw Co School District,Asian,0,0,0
Chickasaw Co School District,Native American/Pacific Islander,0,0,0
Chickasaw Co School District,African American,104,0.269230769,28
Chickasaw Co School District,White,131,0.419847328,55
Chickasaw Co School District,All Students,245,0.355102041,87
Chickasaw Co School District,Hispanic,*,*,*
Chickasaw Co School District,Multiracial,*,*,*
Choctaw Co School District,Native American/Pacific Islander,0,0,0
Choctaw Co School District,Multiracial,19,0.631578947,12
Choctaw Co School District,African American,276,0.405797101,112
Choctaw Co School District,White,389,0.676092545,263
Choctaw Co School District,All Students,691,0.565846599,391
Choctaw Co School District,Hispanic,*,*,*
Choctaw Co School District,Asian,*,*,*
Claiborne Co School District,Multiracial,0,0,0
Claiborne Co School District,Native American/Pacific Islander,0,0,0
Claiborne Co School District,African American,715,0.204195804,146
Claiborne Co School District,All Students,720,0.202777778,146
Claiborne Co School District,White,*,*,*
Claiborne Co School District,Hispanic,*,*,*
Claiborne Co School District,Asian,*,*,*
Clarksdale Municipal School District,Native American/Pacific Islander,0,0,0
Clarksdale Municipal School District,Hispanic,13,0.307692308,4
Clarksdale Municipal School District,White,24,0.25,6
Clarksdale Municipal School District,African American,1208,0.182119205,220
Clarksdale Municipal School District,All Students,1249,0.186549239,233
Clarksdale Municipal School District,Asian,*,*,*
Clarksdale Municipal School District,Multiracial,*,*,*
Cleveland School District,Asian,19,0.526315789,10
Cleveland School District,Hispanic,40,0.275,11
Cleveland School District,Multiracial,42,0.380952381,16
Cleveland School District,White,369,0.504065041,186
Cleveland School District,African American,1307,0.214996174,281
Cleveland School District,All Students,1780,0.283146067,504
Cleveland School District,Native American/Pacific Islander,*,*,*
Clinton Public School District,Hispanic,71,0.507042254,36
Clinton Public School District,Asian,164,0.670731707,110
Clinton Public School District,African American,1648,0.486650485,802
