District Name,Subgroup,2019 Count,2019 Percent Proficient,Number Proficient
,,,,
Aberdeen School District,All Students,636,0.330188679,210
Aberdeen School District,White,16,0.375,6
Aberdeen School District,African American,605,0.32231405,195
Aberdeen School District,Hispanic,*,*,*
Aberdeen School District,Asian,*,*,*
Aberdeen School District,Multiracial,12,0.583333333,7
Aberdeen School District,Native American/Pacific Islander,*,*,*
Alcorn School District,All Students,1596,0.535714286,855
Alcorn School District,White,1481,0.551654288,817
Alcorn School District,African American,50,0.36,18
Alcorn School District,Hispanic,14,0.214285714,3
Alcorn School District,Asian,*,*,*
Alcorn School District,Multiracial,44,0.295454545,13
Alcorn School District,Native American/Pacific Islander,*,*,*
Amite Co School District,All Students,505,0.138613861,70
Amite Co School District,White,79,0.215189873,17
Amite Co School District,African American,415,0.118072289,49
Amite Co School District,Hispanic,*,*,*
Amite Co School District,Asian,,,0
Amite Co School District,Multiracial,*,*,*
Amite Co School District,Native American/Pacific Islander,*,*,*
Amory School District,All Students,857,0.619603267,531
Amory School District,White,512,0.724609375,371
Amory School District,African American,307,0.439739414,135
Amory School District,Hispanic,24,0.625,15
Amory School District,Asian,*,*,*
Amory School District,Multiracial,10,0.7,7
Amory School District,Native American/Pacific Islander,0,0,0
Attala Co School District,All Students,571,0.320490368,183
Attala Co School District,White,270,0.407407407,110
Attala Co School District,African American,295,0.237288136,70
Attala Co School District,Hispanic,0,0,0
Attala Co School District,Asian,*,*,*
Attala Co School District,Multiracial,*,*,*
Attala Co School District,Native American/Pacific Islander,0,0,0
Baldwyn School District,All Students,403,0.545905707,220
Baldwyn School District,White,195,0.646153846,126
Baldwyn School District,African American,188,0.441489362,83
Baldwyn School District,Hispanic,*,*,*
Baldwyn School District,Asian,0,0,0
Baldwyn School District,Multiracial,17,0.470588235,8
Baldwyn School District,Native American/Pacific Islander,0,0,0
Bay St Louis Waveland School District,All Students,1025,0.477073171,489
Bay St Louis Waveland School District,White,690,0.534782609,369
Bay St Louis Waveland School District,African American,251,0.294820717,74
Bay St Louis Waveland School District,Hispanic,17,0.588235294,10
Bay St Louis Waveland School District,Asian,*,*,*
Bay St Louis Waveland School District,Multiracial,54,0.481481481,26
Bay St Louis Waveland School District,Native American/Pacific Islander,*,*,*
Benton Co School District,All Students,541,0.451016636,244
Benton Co School District,White,253,0.545454545,138
Benton Co School District,African American,239,0.326359833,78
Benton Co School District,Hispanic,18,0.555555556,10
Benton Co School District,Asian,0,0,0
Benton Co School District,Multiracial,31,0.580645161,18
Benton Co School District,Native American/Pacific Islander,0,0,0
Biloxi Public School District,All Students,3292,0.672843256,2215
Biloxi Public School District,White,1378,0.786647315,1084
Biloxi Public School District,African American,1105,0.530316742,586
Biloxi Public School District,Hispanic,494,0.613360324,303
Biloxi Public School District,Asian,133,0.872180451,116
Biloxi Public School District,Multiracial,162,0.709876543,115
Biloxi Public School District,Native American/Pacific Islander,20,0.55,11
Booneville School District,All Students,688,0.677325581,466
Booneville School District,White,470,0.763829787,359
Booneville School District,African American,157,0.452229299,71
Booneville School District,Hispanic,12,0.583333333,7
Booneville School District,Asian,*,*,*
Booneville School District,Multiracial,46,0.565217391,26
Booneville School District,Native American/Pacific Islander,0,0,0
Brookhaven School District,All Students,1514,0.348745046,528
Brookhaven School District,White,486,0.534979424,260
Brookhaven School District,African American,972,0.255144033,248
Brookhaven School District,Hispanic,13,0.461538462,6
Brookhaven School District,Asian,10,0.7,7
Brookhaven School District,Multiracial,29,0.172413793,5
Brookhaven School District,Native American/Pacific Islander,*,*,*
Calhoun Co School District,All Students,1276,0.407523511,520
Calhoun Co School District,White,657,0.526636225,346
Calhoun Co School District,African American,418,0.210526316,88
Calhoun Co School District,Hispanic,152,0.421052632,64
Calhoun Co School District,Asian,12,0.75,9
Calhoun Co School District,Multiracial,35,0.342857143,12
Calhoun Co School District,Native American/Pacific Islander,*,*,*
Canton Public School District,All Students,1862,0.34264232,638
Canton Public School District,White,*,*,*
Canton Public School District,African American,1607,0.334785314,538
Canton Public School District,Hispanic,236,0.394067797,93
Canton Public School District,Asian,*,*,*
Canton Public School District,Multiracial,*,*,*
Canton Public School District,Native American/Pacific Islander,*,*,*
Carroll County School District,All Students,490,0.248979592,122
Carroll County School District,White,189,0.253968254,48
Carroll County School District,African American,263,0.247148289,65
Carroll County School District,Hispanic,21,0.333333333,7
Carroll County School District,Asian,*,*,*
Carroll County School District,Multiracial,15,0.133333333,2
Carroll County School District,Native American/Pacific Islander,0,0,0
Chickasaw Co School District,All Students,244,0.43852459,107
Chickasaw Co School District,White,133,0.533834586,71
Chickasaw Co School District,African American,99,0.313131313,31
Chickasaw Co School District,Hispanic,*,*,*
Chickasaw Co School District,Asian,0,0,0
Chickasaw Co School District,Multiracial,*,*,*
Chickasaw Co School District,Native American/Pacific Islander,0,0,0
Choctaw Co School District,All Students,714,0.530812325,379
Choctaw Co School District,White,393,0.648854962,255
Choctaw Co School District,African American,295,0.355932203,105
Choctaw Co School District,Hispanic,*,*,*
Choctaw Co School District,Asian,*,*,*
Choctaw Co School District,Multiracial,19,0.789473684,15
Choctaw Co School District,Native American/Pacific Islander,0,0,0
Claiborne Co School District,All Students,702,0.282051282,198
Claiborne Co School District,White,*,*,*
Claiborne Co School District,African American,698,0.283667622,198
Claiborne Co School District,Hispanic,*,*,*
Claiborne Co School District,Asian,*,*,*
Claiborne Co School District,Multiracial,0,0,0
Claiborne Co School District,Native American/Pacific Islander,0,0,0
Clarksdale Municipal School District,All Students,1240,0.19516129,242
Clarksdale Municipal School District,White,24,0.375,9
Clarksdale Municipal School District,African American,1198,0.186143573,223
Clarksdale Municipal School District,Hispanic,14,0.571428571,8
Clarksdale Municipal School District,Asian,*,*,*
Clarksdale Municipal School District,Multiracial,*,*,*
Clarksdale Municipal School District,Native American/Pacific Islander,0,0,0
Cleveland School District,All Students,1747,0.284487693,497
Cleveland School District,White,367,0.433242507,159
Cleveland School District,African American,1275,0.222745098,284
Cleveland School District,Hispanic,40,0.4,16
Cleveland School District,Asian,21,0.952380952,20
Cleveland School District,Multiracial,41,0.43902439,18
Cleveland School District,Native American/Pacific Islander,*,*,*
Clinton Public School District,All Students,2979,0.687814703,2049
Clinton Public School District,White,1082,0.816081331,883
Clinton Public School District,African American,1636,0.592909535,970
Clinton Public School District,Hispanic,68,0.529411765,36
Clinton Public School District,Asian,177,0.84180791,149
Clinton Public School District,Multiracial,*,*,*
Clinton Public School District,Native American/Pacific Islander,*,*,*
Coahoma County School District,All Students,709,0.235543018,167
Coahoma County School District,White,45,0.288888889,13
Coahoma County School District,African American,651,0.228878648,149
Coahoma County School District,Hispanic,10,0.3,3
Coahoma County School District,Asian,*,*,*
Coahoma County School District,Multiracial,*,*,*
Coahoma County School District,Native American/Pacific Islander,0,0,0
Coffeeville School District,All Students,273,0.347985348,95
Coffeeville School District,White,44,0.386363636,17
Coffeeville School District,African American,218,0.339449541,74
Coffeeville School District,Hispanic,*,*,*
Coffeeville School District,Asian,0,0,0
Coffeeville School District,Multiracial,10,0.3,3
Coffeeville School District,Native American/Pacific Islander,0,0,0
Columbia School District,All Students,863,0.48783314,421
Columbia School District,White,420,0.623809524,262
Columbia School District,African American,410,0.351219512,144
Columbia School District,Hispanic,15,0.466666667,7
Columbia School District,Asian,*,*,*
Columbia School District,Multiracial,13,0.461538462,6
Columbia School District,Native American/Pacific Islander,*,*,*
Columbus Municipal School District,All Students,1824,0.199561404,364
Columbus Municipal School District,White,77,0.350649351,27
Columbus Municipal School District,African American,1688,0.186611374,315
Columbus Municipal School District,Hispanic,36,0.277777778,10
Columbus Municipal School District,Asian,10,0.8,8
Columbus Municipal School District,Multiracial,12,0.25,3
Columbus Municipal School District,Native American/Pacific Islander,*,*,*
Copiah Co School District,All Students,1391,0.357296909,497
Copiah Co School District,White,486,0.514403292,250
Copiah Co School District,African American,807,0.256505576,207
Copiah Co School District,Hispanic,84,0.392857143,33
Copiah Co School District,Asian,*,*,*
Copiah Co School District,Multiracial,11,0.363636364,4
Copiah Co School District,Native American/Pacific Islander,*,*,*
Corinth School District,All Students,1294,0.438176198,567
Corinth School District,White,731,0.585499316,428
Corinth School District,African American,353,0.178470255,63
Corinth School District,Hispanic,131,0.328244275,43
Corinth School District,Asian,14,0.714285714,10
Corinth School District,Multiracial,65,0.353846154,23
Corinth School District,Native American/Pacific Islander,0,0,0
Covington Co Schools,All Students,1463,0.337662338,494
Covington Co Schools,White,661,0.446293495,295
Covington Co Schools,African American,686,0.237609329,163
Covington Co Schools,Hispanic,71,0.366197183,26
Covington Co Schools,Asian,*,*,*
Covington Co Schools,Multiracial,39,0.230769231,9
Covington Co Schools,Native American/Pacific Islander,*,*,*
Desoto Co School District,All Students,18634,0.618332081,11522
Desoto Co School District,White,8960,0.743973214,6666
Desoto Co School District,African American,7093,0.462145778,3278
Desoto Co School District,Hispanic,1110,0.596396396,662
Desoto Co School District,Asian,323,0.777089783,251
Desoto Co School District,Multiracial,1110,0.572072072,635
Desoto Co School District,Native American/Pacific Islander,38,0.789473684,30
East Jasper Consolidated School District,All Students,460,0.460869565,212
East Jasper Consolidated School District,White,*,*,*
East Jasper Consolidated School District,African American,451,0.461197339,208
East Jasper Consolidated School District,Hispanic,*,*,*
East Jasper Consolidated School District,Asian,*,*,*
East Jasper Consolidated School District,Multiracial,*,*,*
East Jasper Consolidated School District,Native American/Pacific Islander,0,0,0
East Tallahatchie Consolidated School District,All Students,560,0.203571429,114
East Tallahatchie Consolidated School District,White,72,0.319444444,23
East Tallahatchie Consolidated School District,African American,469,0.185501066,87
East Tallahatchie Consolidated School District,Hispanic,*,*,*
East Tallahatchie Consolidated School District,Asian,*,*,*
East Tallahatchie Consolidated School District,Multiracial,14,0.142857143,2
East Tallahatchie Consolidated School District,Native American/Pacific Islander,0,0,0
Enterprise School District,All Students,492,0.699186992,344
Enterprise School District,White,434,0.725806452,315
Enterprise School District,African American,49,0.428571429,21
Enterprise School District,Hispanic,*,*,*
Enterprise School District,Asian,*,*,*
Enterprise School District,Multiracial,*,*,*
Enterprise School District,Native American/Pacific Islander,0,0,0
Forest Municipal School District,All Students,871,0.392652124,342
Forest Municipal School District,White,103,0.563106796,58
Forest Municipal School District,African American,411,0.291970803,120
Forest Municipal School District,Hispanic,309,0.453074434,140
Forest Municipal School District,Asian,*,*,*
Forest Municipal School District,Multiracial,42,0.428571429,18
Forest Municipal School District,Native American/Pacific Islander,*,*,*
Forrest County Ag High School,All Students,153,0.287581699,44
